#X,VehDyn_Parameters->yaw.angle_Angle(abs),VehDyn_Parameters->vehicle.x_Displacement(abs),VehDyn_Parameters->vehicle.y_Displacement(abs)
#Time(sec),Angle(degrees)_Real,Length(mm)_Real,Length(mm)_Real
1.420000E+00,-208.313311,-22553.308594,2293.586426
1.430000E+00,-208.680488,-22685.125000,2351.098145
1.440000E+00,-209.046231,-22816.546875,2409.260010
1.450000E+00,-209.409980,-22947.548828,2468.063965
1.460000E+00,-209.771830,-23078.197266,2527.509521
1.470000E+00,-210.131398,-23208.470703,2587.585205
1.480000E+00,-210.489478,-23338.318359,2648.296875
1.490000E+00,-210.847516,-23467.744141,2709.656250
1.500000E+00,-211.206634,-23596.755859,2771.683105
1.510000E+00,-211.567391,-23725.349609,2834.385010
1.520000E+00,-211.930006,-23853.529297,2897.763916
1.530000E+00,-212.294164,-23981.292969,2961.816895
1.540000E+00,-212.659101,-24108.638672,3026.532959
1.550000E+00,-213.023819,-24235.556641,3091.905518
1.560000E+00,-213.387431,-24362.060547,3157.921387
1.570000E+00,-213.748653,-24488.132813,3224.558105
1.580000E+00,-214.106514,-24613.763672,3291.799805
1.590000E+00,-214.460659,-24738.964844,3359.639893
1.600000E+00,-214.811102,-24863.728516,3428.073730
1.610000E+00,-215.158335,-24988.058594,3497.101074
1.620000E+00,-215.502454,-25111.931641,3566.731689
1.630000E+00,-215.844414,-25235.345703,3636.962646
1.640000E+00,-216.185145,-25358.267578,3707.791016
1.650000E+00,-216.525862,-25480.697266,3779.228271
1.660000E+00,-216.866675,-25602.664063,3851.272461
1.670000E+00,-217.207392,-25724.187500,3923.927979
1.680000E+00,-217.547577,-25845.244141,3997.197266
1.690000E+00,-217.884387,-25965.568359,4071.023438
1.700000E+00,-218.214831,-26085.388672,4145.359863
1.710000E+00,-218.538856,-26204.687500,4220.213379
1.720000E+00,-218.857306,-26323.505859,4295.616699
1.730000E+00,-219.169869,-26441.564453,4371.557129
1.740000E+00,-219.476750,-26559.181641,4448.043945
1.750000E+00,-219.779040,-26676.308594,4525.081055
1.760000E+00,-220.079623,-26792.804688,4602.698730
1.770000E+00,-220.380876,-26908.878906,4680.921875
1.780000E+00,-220.682565,-27024.509766,4759.753418
1.790000E+00,-220.984118,-27139.673828,4839.183594
1.800000E+00,-221.284879,-27254.359375,4919.194824
1.810000E+00,-221.584095,-27368.550781,4999.767578
1.820000E+00,-221.880922,-27482.246094,5080.889160
1.830000E+00,-222.174552,-27595.439453,5162.542480
1.840000E+00,-222.464288,-27708.136719,5244.711914
1.850000E+00,-222.749695,-27820.337891,5327.388672
1.860000E+00,-223.030634,-27932.048828,5410.571777
1.870000E+00,-223.307311,-28043.275391,5494.263672
1.880000E+00,-223.580246,-28154.015625,5578.474609
1.890000E+00,-223.850188,-28264.265625,5663.217285
1.900000E+00,-224.117904,-28374.015625,5748.500977
1.910000E+00,-224.384077,-28483.257813,5834.331055
1.920000E+00,-224.649198,-28591.978516,5920.708984
1.930000E+00,-224.913417,-28700.164063,6007.628906
1.940000E+00,-225.176556,-28807.812500,6095.075684
1.950000E+00,-225.438235,-28914.916016,6183.032715
1.960000E+00,-225.697905,-29021.478516,6271.488770
1.970000E+00,-225.954979,-29127.500000,6360.431152
1.980000E+00,-226.208885,-29232.988281,6449.847656
1.990000E+00,-226.459252,-29337.953125,6539.732910
2.000000E+00,-226.705877,-29442.402344,6630.088867
2.010000E+00,-226.948895,-29546.341797,6720.921387
2.020000E+00,-227.188635,-29649.775391,6812.239746
2.030000E+00,-227.425615,-29752.695313,6904.055664
2.040000E+00,-227.660382,-29855.095703,6996.377930
2.050000E+00,-227.893428,-29956.960938,7089.207520
2.060000E+00,-228.125026,-30058.279297,7182.541992
2.070000E+00,-228.355244,-30159.041016,7276.371094
2.080000E+00,-228.583892,-30259.238281,7370.676758
2.090000E+00,-228.810613,-30358.871094,7465.441406
2.100000E+00,-229.034958,-30457.941406,7560.649414
2.110000E+00,-229.256420,-30556.457031,7656.292969
2.120000E+00,-229.474576,-30654.429688,7752.362793
2.130000E+00,-229.689044,-30751.869141,7848.857422
2.140000E+00,-229.899632,-30848.787109,7945.777832
2.150000E+00,-230.106314,-30945.193359,8043.131836
2.160000E+00,-230.309334,-31041.093750,8140.928223
2.170000E+00,-230.509022,-31136.484375,8239.175781
2.180000E+00,-230.705731,-31231.357422,8337.880859
2.190000E+00,-230.899736,-31325.699219,8437.041992
2.200000E+00,-231.091282,-31419.503906,8536.649414
2.210000E+00,-231.280314,-31512.757813,8636.690430
2.220000E+00,-231.466751,-31605.458984,8737.144531
2.230000E+00,-231.650292,-31697.609375,8837.995117
2.240000E+00,-231.830609,-31789.212891,8939.224609
2.250000E+00,-232.007401,-31880.281250,9040.824219
2.260000E+00,-232.180506,-31970.826172,9142.790039
2.270000E+00,-232.350031,-32060.855469,9245.124023
2.280000E+00,-232.515950,-32150.384766,9347.821289
2.290000E+00,-232.679383,-32239.451172,9450.883789
2.300000E+00,-232.839947,-32328.072266,9554.362305
2.310000E+00,-232.996850,-32416.234375,9658.237305
2.320000E+00,-233.149300,-32503.933594,9762.496094
2.330000E+00,-233.296750,-32591.166016,9867.122070
2.340000E+00,-233.438736,-32677.937500,9972.100586
2.350000E+00,-233.574520,-32764.253906,10077.414063
2.360000E+00,-233.702818,-32850.121094,10183.007813
2.370000E+00,-233.822838,-32935.542969,10288.848633
2.380000E+00,-233.934444,-33020.546875,10394.942383
2.390000E+00,-234.037306,-33105.160156,10501.275391
2.400000E+00,-234.130798,-33189.406250,10607.838867
2.410000E+00,-234.214372,-33273.320313,10714.620117
2.420000E+00,-234.287592,-33356.925781,10821.615234
2.430000E+00,-234.350156,-33440.253906,10928.813477
2.440000E+00,-234.401710,-33523.339844,11036.216797
2.450000E+00,-234.441626,-33606.203125,11143.821289
2.460000E+00,-234.469302,-33688.871094,11251.606445
2.470000E+00,-234.484083,-33771.359375,11359.547852
2.480000E+00,-234.485394,-33853.695313,11467.609375
2.490000E+00,-234.472744,-33935.902344,11575.758789
2.500000E+00,-234.445724,-34018.000000,11683.955078
2.510000E+00,-234.404169,-34100.023438,11792.164063
